,Combination,VotingType,F1Score
3752,DT+ETC+SVC_RBF+LGBM+LGBM_RF+LR,soft,0.861981984599035
4068,DT+LGBM_RF+XGB+XGB_RF+LR+NB,soft,0.861981984599035
5642,DT+ETC+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+LR,soft,0.861981984599035
730,DT+ETC+XGB_RF+NB,soft,0.861981984599035
1876,DT+ETC+SVC_LIN+LGBM+LR,soft,0.861981984599035
5915,DT+SVC_RBF+LGBM_RF+XGB+XGB_RF+LR+NB,hard,0.861981984599035
3125,SVC_RBF+LGBM_RF+XGB+XGB_RF+LR,hard,0.8619712212293922
3111,SVC_RBF+LGBM+LGBM_RF+XGB_RF+LR,hard,0.8619712212293922
6963,DT+RF+SVC_LIN+SVC_RBF+LGBM_RF+XGB+XGB_RF+LR,hard,0.8619477911646586
7793,DT+RF+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+XGB+XGB_RF+LR,hard,0.8619477911646586
3712,DT+ETC+SVC_LIN+LGBM+LGBM_RF+LR,soft,0.8619477911646586
5477,DT+RF+SVC_RBF+LGBM_RF+XGB+XGB_RF+LR,hard,0.8619477911646586
6949,DT+RF+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+XGB_RF+LR,hard,0.8619477911646586
1705,DT+RF+SVC_LIN+LGBM+XGB,hard,0.8619477911646586
6313,RF+SVC_LIN+LGBM+LGBM_RF+XGB+XGB_RF+LR,hard,0.8619477911646586
5463,DT+RF+SVC_RBF+LGBM+LGBM_RF+XGB_RF+LR,hard,0.8619477911646586
5859,DT+KNN+LGBM+XGB+XGB_RF+LR+NB,hard,0.8618863640214869
2209,DT+LGBM+XGB+LR+NB,hard,0.8618863640214869
5325,DT+RF+KNN+SVC_RBF+LGBM+XGB+XGB_RF,hard,0.8618863640214869
5833,DT+KNN+SVC_RBF+LGBM+XGB+XGB_RF+LR,hard,0.8618863640214869
5759,DT+KNN+SVC_LIN+SVC_RBF+LGBM+XGB+XGB_RF,hard,0.8618863640214869
2075,DT+KNN+XGB+XGB_RF+LR,hard,0.8618113912231559
3061,SVC_LIN+SVC_RBF+LGBM_RF+XGB_RF+LR,hard,0.8617434340948553
2097,DT+SVC_LIN+SVC_RBF+LGBM_RF+LR,hard,0.8616656074097867
3124,SVC_RBF+LGBM_RF+XGB+XGB_RF+LR,soft,0.861599502288842
7881,DT+KNN+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+XGB+XGB_RF+LR,hard,0.861599502288842
4636,ETC+KNN+SVC_LIN+XGB+XGB_RF+LR,soft,0.8615171303770284
4234,RF+ETC+SVC_LIN+LGBM_RF+XGB+LR,soft,0.8615079365079366
2810,ETC+SVC_LIN+LGBM_RF+XGB_RF+LR,soft,0.8615079365079366
356,ETC+SVC_LIN+XGB_RF,soft,0.8615079365079366
2203,DT+LGBM+LGBM_RF+LR+NB,hard,0.8615079365079366
5533,DT+ETC+KNN+SVC_LIN+LGBM+LGBM_RF+LR,hard,0.8614962159265959
1935,DT+ETC+LGBM+LGBM_RF+LR,hard,0.8614962159265959
7843,DT+ETC+KNN+SVC_LIN+LGBM+LGBM_RF+XGB+LR+NB,hard,0.8614962159265959
3441,DT+RF+SVC_LIN+SVC_RBF+LGBM_RF+LR,hard,0.861287850036092
6967,DT+RF+SVC_LIN+SVC_RBF+LGBM_RF+XGB+LR+NB,hard,0.861287850036092
7229,DT+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+XGB_RF+LR+NB,hard,0.861287850036092
5749,DT+ETC+LGBM_RF+XGB+XGB_RF+LR+NB,hard,0.8612525685696418
710,DT+ETC+LGBM+LR,soft,0.8612525685696418
